Date,Open,High,Low,Close,Adj Close,Volume
2004-04-22,112.480003,114.669998,112.440002,114.250000,79.085472,62071500
2004-04-23,114.419998,114.570000,113.790001,114.360001,79.161606,29395700
2004-04-26,114.500000,114.940002,113.599998,114.199997,79.050880,35515200
2004-04-27,114.230003,115.120003,113.959999,114.300003,79.120110,43485500
2004-04-28,113.889999,114.010002,112.500000,112.820000,78.095612,50165800
2004-04-29,112.720001,113.320000,111.160004,111.830002,77.410294,69687600
2004-04-30,112.169998,112.379997,110.900002,110.959999,76.808060,48681400
2004-05-03,111.370003,112.290001,111.349998,112.150002,77.631821,33758000
2004-05-04,112.250000,113.260002,111.660004,112.059998,77.569511,51185100
2004-05-05,112.410004,112.959999,112.160004,112.779999,78.067902,34405000
2004-05-06,112.019997,112.589996,111.000000,111.809998,77.396461,54997000
2004-05-07,111.220001,112.230003,109.959999,109.959999,76.115860,60950000
2004-05-10,109.440002,109.750000,108.360001,108.830002,75.333649,75279400
2004-05-11,109.459999,110.050003,109.330002,109.750000,75.970497,48300600
2004-05-12,109.570000,110.540001,108.059998,110.449997,76.455063,90830500
2004-05-13,109.760002,110.809998,109.629997,109.989998,76.136635,57393700
2004-05-14,109.949997,110.739998,109.269997,110.040001,76.171242,54123100
2004-05-17,108.889999,109.500000,108.410004,109.099998,75.520546,55020400
2004-05-18,109.489998,109.940002,109.330002,109.650002,75.901268,30193100
2004-05-19,110.500000,111.180000,109.150002,109.269997,75.638252,54804100
2004-05-20,109.449997,109.870003,109.040001,109.620003,75.880524,38082900
2004-05-21,109.970001,110.550003,109.470001,109.809998,76.012047,47480400
2004-05-24,110.529999,110.760002,109.680000,110.269997,76.330475,40961500
2004-05-25,109.900002,111.980003,109.599998,111.849998,77.424156,48668000
2004-05-26,111.660004,112.290001,111.510002,112.239998,77.694099,35977000
2004-05-27,112.540001,113.029999,112.059998,112.870003,78.130196,45306900
2004-05-28,112.730003,112.879997,112.360001,112.860001,78.123253,23367200
2004-06-01,112.459999,112.860001,111.870003,112.709999,78.019463,41044700
2004-06-02,113.029999,113.480003,112.459999,113.129997,78.310204,39774200
2004-06-03,112.809998,113.190002,112.070000,112.089996,77.590294,38688300
2004-06-04,112.980003,113.580002,112.709999,112.980003,78.206337,32739500
2004-06-07,113.430000,114.809998,113.419998,114.699997,79.396950,31643800
2004-06-08,114.370003,114.919998,114.169998,114.860001,79.507706,32846500
2004-06-09,114.510002,114.699997,113.720001,113.790001,78.767067,36737600
2004-06-10,114.040001,114.349998,113.930000,114.349998,79.154686,21711000
2004-06-14,113.820000,113.849998,112.870003,113.220001,78.372498,34633000
2004-06-15,113.900002,114.449997,113.510002,114.019997,78.926292,37445000
2004-06-16,114.000000,114.199997,113.699997,114.000000,78.912415,26633400
2004-06-17,113.849998,114.070000,113.330002,113.830002,78.794731,28402400
2004-06-18,113.269997,114.220001,113.180000,113.629997,78.943413,31799800
2004-06-21,113.750000,114.139999,113.129997,113.199997,78.644669,25284000
2004-06-22,113.129997,113.879997,112.669998,113.769997,79.040657,37334000
2004-06-23,113.610001,114.839996,113.419998,114.750000,79.721512,35580000
2004-06-24,114.559998,114.930000,114.260002,114.389999,79.471428,35272100
2004-06-25,114.410004,114.940002,113.680000,113.839996,79.089294,32837900
2004-06-28,114.519997,114.610001,113.410004,113.449997,78.818359,40824500
2004-06-29,113.529999,114.169998,113.419998,113.919998,79.144859,28418100
2004-06-30,114.070000,114.790001,113.650002,114.529999,79.568718,52230600
2004-07-01,114.250000,114.400002,112.580002,112.940002,78.464073,57734700
2004-07-02,113.160004,113.290001,112.599998,112.879997,78.422333,34615100
2004-07-06,112.370003,112.449997,111.629997,111.889999,77.734558,38698200
2004-07-07,111.809998,112.570000,111.750000,112.220001,77.963821,29839800
2004-07-08,111.809998,112.320000,111.199997,111.440002,77.421959,45291100
2004-07-09,111.720001,111.940002,111.379997,111.730003,77.623398,27412900
2004-07-12,111.519997,112.040001,111.000000,111.779999,77.658119,35691300
2004-07-13,111.919998,112.019997,111.599998,111.860001,77.713737,26752000
2004-07-14,111.260002,112.389999,111.120003,111.519997,77.477524,54089400
2004-07-15,111.739998,111.910004,110.699997,110.800003,76.977310,38403500
2004-07-16,111.570000,111.669998,110.440002,110.709999,76.914772,40871200
2004-07-19,110.750000,110.959999,109.989998,110.239998,76.588234,39592800
2004-07-20,110.529999,111.900002,110.250000,111.639999,77.560898,46679800
2004-07-21,111.820000,112.059998,109.449997,109.580002,76.129707,56241100
2004-07-22,109.360001,110.389999,108.769997,109.879997,76.338120,72477100
2004-07-23,109.620003,109.709999,108.690002,108.959999,75.698990,49610500
2004-07-26,109.190002,109.430000,108.209999,108.750000,75.553085,49679100
2004-07-27,109.050003,110.110001,108.970001,109.769997,76.261757,51295100
2004-07-28,109.550003,110.370003,108.589996,110.099998,76.490990,65862300
2004-07-29,110.540001,110.870003,110.000000,110.570000,76.817513,52200500
2004-07-30,110.320000,110.900002,110.099998,110.839996,77.005089,41581700
2004-08-02,110.190002,111.360001,110.050003,111.070000,77.164902,38263100
2004-08-03,110.930000,111.059998,110.160004,110.209999,76.567406,40948800
2004-08-04,109.889999,110.750000,109.639999,110.199997,76.560448,40763200
2004-08-05,110.290001,110.379997,108.269997,108.400002,75.309921,50772000
2004-08-06,107.629997,107.959999,106.620003,106.849998,74.233086,74729000
2004-08-09,107.019997,107.480003,106.870003,107.000000,74.337257,37476300
2004-08-10,107.309998,108.410004,107.260002,108.379997,75.296036,55870600
2004-08-11,107.680000,108.330002,107.099998,108.160004,75.143196,52933200
2004-08-12,107.680000,107.949997,106.629997,106.980003,74.323387,50015900
2004-08-13,107.099998,107.349998,106.589996,107.190002,74.469292,41634700
2004-08-16,107.139999,108.639999,107.099998,108.300003,75.240440,45731900
2004-08-17,108.750000,109.279999,108.529999,108.910004,75.664230,40701600
2004-08-18,108.519997,110.169998,108.489998,110.029999,76.442322,43165400
2004-08-19,109.809998,110.019997,109.180000,109.709999,76.220024,39881600
2004-08-20,109.610001,110.629997,109.510002,110.480003,76.754982,44870900
2004-08-23,110.550003,110.769997,110.050003,110.199997,76.560448,33745100
2004-08-24,110.639999,110.730003,109.849998,110.349998,76.664658,30453100
2004-08-25,110.330002,111.269997,109.900002,111.099998,77.185707,38551400
2004-08-26,110.959999,111.309998,110.849998,111.099998,77.185707,26629500
2004-08-27,111.199997,111.629997,111.050003,111.449997,77.428864,24902900
2004-08-30,111.220001,111.339996,110.449997,110.529999,76.789726,26726500
2004-08-31,110.660004,111.160004,110.099998,111.110001,77.192665,44125300
2004-09-01,110.949997,111.639999,110.480003,111.320000,77.338554,52778300
2004-09-02,111.239998,112.699997,111.239998,112.580002,78.213959,42736600
2004-09-03,112.330002,112.820000,112.010002,112.120003,77.894348,30480500
2004-09-07,112.540001,113.129997,112.320000,112.860001,78.408440,37338800
